s_adj	business	date	sales
Seasonally Adjusted	4400a	2007.04	2.54547E+11
Seasonally Adjusted	4400a	2007.05	2.585E+11
Seasonally Adjusted	4400a	2007.06	2.56668E+11
Seasonally Adjusted	4400a	2007.07	2.58482E+11
Seasonally Adjusted	4400a	2007.08	2.57101E+11
Seasonally Adjusted	4400a	2007.09	2.58751E+11
Seasonally Adjusted	4400a	2007.1	2.59595E+11
Seasonally Adjusted	4400a	2007.11	2.6626E+11
Seasonally Adjusted	4400a	2007.12	2.64135E+11
Seasonally Adjusted	4400a	2008.01	2.64952E+11
Seasonally Adjusted	4400a	2008.02	2.63144E+11
Seasonally Adjusted	4400a	2008.03	2.65281E+11
Seasonally Adjusted	4400a	2008.04	2.68059E+11
Seasonally Adjusted	4400a	2008.05	2.70133E+11
Seasonally Adjusted	4400a	2008.06	2.72836E+11
Seasonally Adjusted	4400a	2008.07	2.74306E+11
Seasonally Adjusted	4400a	2008.08	2.70075E+11
Seasonally Adjusted	4400a	2008.09	2.66949E+11
Seasonally Adjusted	4400a	2008.1	2.59226E+11
Seasonally Adjusted	4400a	2008.11	2.50389E+11
Seasonally Adjusted	4400a	2008.12	2.4139E+11
Seasonally Adjusted	4400a	2009.01	2.44887E+11
Seasonally Adjusted	4400a	2009.02	2.46448E+11
Seasonally Adjusted	4400a	2009.03	2.43232E+11
Seasonally Adjusted	4400a	2009.04	2.4367E+11
Seasonally Adjusted	4400a	2009.05	2.45125E+11
Seasonally Adjusted	4400a	2009.06	2.47818E+11
Seasonally Adjusted	4400a	2009.07	2.47326E+11
Seasonally Adjusted	4400a	2009.08	2.49627E+11
Seasonally Adjusted	4400a	2009.09	2.50771E+11
Seasonally Adjusted	4400a	2009.1	2.51028E+11
Seasonally Adjusted	4400a	2009.11	2.54239E+11
Seasonally Adjusted	4400a	2009.12	2.55103E+11
Seasonally Adjusted	4400a	2010.01	2.56846E+11
Seasonally Adjusted	4400a	2010.02	2.59435E+11
Seasonally Adjusted	4400a	2010.03	2.62927E+11
Seasonally Adjusted	4400a	2010.04	2.63818E+11
Seasonally Adjusted	4400a	2010.05	2.60093E+11
Seasonally Adjusted	4400a	2010.06	2.60053E+11
Seasonally Adjusted	4400a	2010.07	2.60784E+11
Seasonally Adjusted	4400a	2010.08	2.63508E+11
Seasonally Adjusted	4400a	2010.09	2.65931E+11
Seasonally Adjusted	4400a	2010.1	2.68307E+11
Seasonally Adjusted	4400a	2010.11	2.71101E+11
Seasonally Adjusted	4400a	2010.12	2.72595E+11
Seasonally Adjusted	44100	1992.01	33508000000
Seasonally Adjusted	44100	1992.02	34029000000
Seasonally Adjusted	44100	1992.03	33397000000
Seasonally Adjusted	44100	1992.04	33919000000
Seasonally Adjusted	44100	1992.05	34408000000
Seasonally Adjusted	44100	1992.06	34789000000
Seasonally Adjusted	44100	1992.07	35142000000
Seasonally Adjusted	44100	1992.08	34774000000
Seasonally Adjusted	44100	1992.09	36105000000
Seasonally Adjusted	44100	1992.1	36006000000
Seasonally Adjusted	44100	1992.11	35950000000
Seasonally Adjusted	44100	1992.12	36380000000
Seasonally Adjusted	44100	1993.01	37864000000
Seasonally Adjusted	44100	1993.02	36742000000
Seasonally Adjusted	44100	1993.03	36183000000
Seasonally Adjusted	44100	1993.04	38316000000
Seasonally Adjusted	44100	1993.05	39246000000
Seasonally Adjusted	44100	1993.06	39031000000
Seasonally Adjusted	44100	1993.07	40333000000
Seasonally Adjusted	44100	1993.08	40438000000
Seasonally Adjusted	44100	1993.09	40319000000
Seasonally Adjusted	44100	1993.1	40942000000
Seasonally Adjusted	44100	1993.11	42084000000
Seasonally Adjusted	44100	1993.12	42741000000
Seasonally Adjusted	44100	1994.01	43044000000
Seasonally Adjusted	44100	1994.02	43695000000
Seasonally Adjusted	44100	1994.03	44593000000
Seasonally Adjusted	44100	1994.04	45235000000
Seasonally Adjusted	44100	1994.05	44038000000
Seasonally Adjusted	44100	1994.06	44619000000
Seasonally Adjusted	44100	1994.07	44575000000
Seasonally Adjusted	44100	1994.08	45372000000
Seasonally Adjusted	44100	1994.09	46109000000
Seasonally Adjusted	44100	1994.1	47361000000
Seasonally Adjusted	44100	1994.11	47386000000
Seasonally Adjusted	44100	1994.12	47051000000
Seasonally Adjusted	44100	1995.01	47314000000
Seasonally Adjusted	44100	1995.02	45984000000
Seasonally Adjusted	44100	1995.03	46678000000
Seasonally Adjusted	44100	1995.04	47383000000
Seasonally Adjusted	44100	1995.05	47725000000
Seasonally Adjusted	44100	1995.06	49535000000
Seasonally Adjusted	44100	1995.07	49111000000
Seasonally Adjusted	44100	1995.08	49721000000
Seasonally Adjusted	44100	1995.09	49417000000
Seasonally Adjusted	44100	1995.1	49301000000
Seasonally Adjusted	44100	1995.11	49900000000
Seasonally Adjusted	44100	1995.12	50461000000
Seasonally Adjusted	44100	1996.01	50405000000
Seasonally Adjusted	44100	1996.02	52357000000
Seasonally Adjusted	44100	1996.03	52634000000
Seasonally Adjusted	44100	1996.04	51507000000
Seasonally Adjusted	44100	1996.05	52251000000
Seasonally Adjusted	44100	1996.06	51990000000
Seasonally Adjusted	44100	1996.07	52018000000
Seasonally Adjusted	44100	1996.08	51575000000
Seasonally Adjusted	44100	1996.09	53366000000
Seasonally Adjusted	44100	1996.1	53410000000
